Player,Pos,Age,Tm,G,GS,MP,FG,FGA
Jordan Loyd,PG,25,TOR,12,0,4.6,0.7,1.5
Kalin Lucas,PG,29,DET,1,0,6.0,0.0,1.0
Timothé Luwawu-Cabarrot,SF,23,TOT,50,7,13.4,1.6,4.4
Timothé Luwawu-Cabarrot,SF,23,OKC,21,1,5.9,0.6,2.0
Timothé Luwawu-Cabarrot,SF,23,CHI,29,6,18.8,2.4,6.0
Tyler Lydon,PF,22,DEN,25,0,3.8,0.4,0.7
Trey Lyles,PF,23,DEN,64,2,17.5,3.2,7.7
Scott Machado,PG,28,LAL,4,0,4.8,1.0,1.5
Shelvin Mack,PG,28,TOT,57,3,21.9,2.9,7.1
Shelvin Mack,PG,28,MEM,53,3,22.7,3.0,7.3
Shelvin Mack,PG,28,CHO,4,0,10.5,0.5,3.5
Daryl Macon,SG,23,DAL,8,0,11.3,1.3,3.4
J.P. Macura,SG,23,CHO,2,0,8.5,1.5,4.5
Ian Mahinmi,C,32,WAS,34,6,14.6,1.4,3.1
Thon Maker,C,21,MIL,35,0,11.7,1.7,3.8
Thon Maker,PF,21,DET,29,5,19.4,1.7,4.6
